net|sta|evtnum|mean(azimuth)|std|median|mad|starttime|endtime
CQ|WRC|34|-0.71|3.32|-0.70|1.82|2007-08-01T17:08:00Z|2007-11-19T00:52:00Z
CQ|WUL|490|-3.55|7.11|-2.70|6.36|2008-04-09T12:46:00Z|2013-09-02T04:30:00Z
CQ|WUX|34|3.38|7.21|2.97|3.89|2007-10-25T13:50:00Z|2008-03-12T11:23:00Z
CQ|WUX|211|2.28|9.58|3.54|4.39|2008-03-22T21:24:00Z|2011-01-27T08:38:00Z
CQ|WUX|117|-0.45|5.42|-0.18|3.08|2011-05-14T21:07:00Z|2013-09-01T11:52:00Z
CQ|YUB|206|-0.98|6.60|-1.88|5.15|2007-08-26T12:37:00Z|2009-11-17T15:30:00Z
CQ|YUB|96|-3.07|6.29|-2.85|3.76|2009-11-28T06:04:00Z|2010-12-17T13:22:00Z
CQ|YUB|245|-1.57|5.64|-2.30|3.96|2010-12-21T17:19:00Z|2013-09-01T11:52:00Z
CS|HTI|16|0.49|3.81|-1.30|2.66|2007-09-12T23:49:00Z|2007-11-26T13:51:00Z
CS|KEL|47|-5.49|4.45|-5.05|4.89|2007-08-02T10:37:00Z|2007-11-23T01:26:00Z
CS|KSH|15|4.59|10.22|4.38|6.35|2007-08-08T17:04:00Z|2008-01-04T07:29:00Z
CS|WUS|82|-1.05|6.97|-0.45|4.30|2007-08-01T08:16:00Z|2008-04-16T19:19:00Z
