gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
201008142301A,18.586245674044267,11.983744668008066,19.550010462776648,9237.3641,5955.921100000009,9716.355199999995,497
201008181628A,18.81736845493563,10.166440987124455,22.46511716738198,8768.893700000002,4737.561499999996,10468.744600000002,466
201008182333A,4.17448763819096,2.2443324623115597,4.400904522613062,4153.615200000005,2233.1108000000017,4378.899999999997,995
201008230108A,4.457460000000001,2.7480513846153842,7.871201230769227,1448.6745000000003,893.1166999999998,2558.140399999999,325
201008242048A,2.2785003015075365,1.3161302512562825,2.3637737688442204,2267.107799999999,1309.549600000001,2351.9548999999993,995
201008261508B,3.591674089068824,1.4636978744939273,4.976546963562752,3548.5739999999983,1446.1335000000001,4916.828399999999,988
201008312116A,2.781443403826792,1.5810023162134956,2.2346457200402816,2761.973300000004,1569.9353000000012,2219.0031999999997,993
201010050826A,2.428255963302752,1.0201848114169214,2.1035886850152896,2382.1190999999994,1000.8013,2063.620499999999,981
201010141358A,6.536306342913764,4.613228444003965,12.211841129831534,6595.133099999987,4654.7475,12321.747700000018,1009
201010301906A,4.815096390243903,3.2167235121951188,9.16188409756097,4935.4738,3297.1415999999967,9390.931199999994,1025
201011021810A,2.468800878906252,1.4616642578124988,4.152393164062503,2528.052100000002,1496.7441999999987,4252.050600000003,1024
201011051640A,12.616248183556424,12.330632887189282,20.621727246653933,13196.595600000019,12897.841999999988,21570.326700000012,1046
201011071926A,4.190381090289607,3.159614821124363,8.088038330494037,2459.7536999999993,1854.6939000000011,4747.678499999999,587
201011101030A,6.466643251231528,4.673817635467987,12.479489753694597,6563.642900000002,4743.924900000007,12666.682100000016,1015
201011300324A,7.560250113378695,2.114883106575962,9.58920079365081,6668.140600000009,1865.3268999999987,8457.675100000015,882
201012181402A,2.7990573643410865,1.6117390503875977,6.040027906976746,2888.6272000000013,1663.3147000000008,6233.3088000000025,1032
201012222149A,13.068873684210532,9.567432716927453,16.008208108108118,9187.418200000004,6725.905199999999,11253.770300000007,703
201012250555A,4.259759637404583,3.460381774809157,9.56244895038168,4464.228100000003,3626.4800999999966,10021.446500000002,1048
201012251141A,2.9801437379576106,1.7382778420038532,5.010575818882468,3093.3891999999996,1804.3323999999996,5200.977700000001,1038
201101122132A,7.150755035128806,1.1097403981264629,8.425346252927394,6106.7448,947.7182999999992,7195.245699999995,854
201101291238A,2.713886196911197,0.8205827220077214,,2811.5861000000004,850.1236999999994,,1036
201102041353A,11.738280588235295,6.1970028235294095,16.214906823529397,9977.5385,5267.452399999998,13782.670799999987,850
201102100535A,5.495672803850785,7.427737665463307,12.429900481347786,4566.9041000000025,6172.450000000008,10329.24730000001,831
201102220210A,2.5608758784425416,1.6560427350427378,,2696.6022999999964,1743.8130000000028,,1053
201102221409A,3.790194620557159,2.8573194044188273,,3945.5926000000027,2974.4694999999992,,1041
201102232214A,5.072056840077072,2.6897747591522174,,5264.795,2791.9862000000016,,1038
